------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	HE         4.00299978
  2.	AR        39.94800186
  3.	N         14.00699997
  4.	O         15.99899960
  5.	H          1.00800002
  6.	C         12.01099968
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High      HE      AR       N       O       H       C
------------------------------------------------------------------------------------------------------------------------------
    1. HE                    G      0            4.003000    300.00   4000.00       1       0       0       0       0       0
    2. AR                    G      0           39.948002    300.00   4000.00       0       1       0       0       0       0
    3. N2                    G      0           28.014000    300.00   4000.00       0       0       2       0       0       0
    4. O2                    G      0           31.997999    300.00   4000.00       0       0       0       2       0       0
    5. H2                    G      0            2.016000    300.00   4000.00       0       0       0       0       2       0
    6. H2O                   G      0           18.015000    300.00   4000.00       0       0       0       1       2       0
    7. H2O2                  G      0           34.013999    300.00   4000.00       0       0       0       2       2       0
    8. CO                    G      0           28.009999    300.00   4000.00       0       0       0       1       0       1
    9. CO2                   G      0           44.008999    300.00   4000.00       0       0       0       2       0       1
   10. CH2O                  G      0           30.025999    300.00   4000.00       0       0       0       1       2       1
   11. HCOOH                 G      0           46.024999    300.00   4000.00       0       0       0       2       2       1
   12. HCO3H                 G      0           62.023998    300.00   4000.00       0       0       0       3       2       1
   13. CH4                   G      0           16.043000    300.00   4000.00       0       0       0       0       4       1
   14. CH3OH                 G      0           32.041999    300.00   4000.00       0       0       0       1       4       1
   15. CH3OOH                G      0           48.040999    300.00   4000.00       0       0       0       2       4       1
   16. C2H2                  G      0           26.037999    300.00   4000.00       0       0       0       0       2       2
   17. CH2CO                 G      0           42.036999    300.00   4000.00       0       0       0       1       2       2
   18. C2H2O2                G      0           58.035999    300.00   4000.00       0       0       0       2       2       2
   19. C2H4                  G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
   20. CH3CHO                G      0           44.052999    300.00   4000.00       0       0       0       1       4       2
   21. C2H4O                 G      0           44.052999    300.00   4000.00       0       0       0       1       4       2
   22. CH3COOH               G      0           60.051999    300.00   4000.00       0       0       0       2       4       2
   23. C2H4O2                G      0           60.051999    300.00   4000.00       0       0       0       2       4       2
   24. CH3CO3H               G      0           76.050998    300.00   4000.00       0       0       0       3       4       2
   25. C2-OQOOH              G      0           76.050998    300.00   4000.00       0       0       0       3       4       2
   26. C2H6                  G      0           30.069999    300.00   4000.00       0       0       0       0       6       2
   27. C2H5OH                G      0           46.068999    300.00   4000.00       0       0       0       1       6       2
   28. C2H5OOH               G      0           62.067999    300.00   4000.00       0       0       0       2       6       2
   29. C3H2                  G      0           38.048999    300.00   4000.00       0       0       0       0       2       3
   30. PC3H4                 G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
   31. AC3H4                 G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
   32. C2H3CHO               G      0           56.063999    300.00   4000.00       0       0       0       1       4       3
   33. C3H4O2                G      0           72.062998    300.00   4000.00       0       0       0       2       4       3
   34. ETC3H4O2              G      0           72.062998    300.00   4000.00       0       0       0       2       4       3
   35. KEA3B3                G      0          104.060997    300.00   4000.00       0       0       0       4       4       3
   36. KEA3G2                G      0          104.060997    300.00   4000.00       0       0       0       4       4       3
   37. C3H6                  G      0           42.080999    300.00   4000.00       0       0       0       0       6       3
   38. CH3COCH3              G      0           58.079999    300.00   4000.00       0       0       0       1       6       3
   39. C3H6O                 G      0           58.079999    300.00   4000.00       0       0       0       1       6       3
   40. C2H5CHO               G      0           58.079999    300.00   4000.00       0       0       0       1       6       3
   41. ACETOL                G      0           74.078998    300.00   4000.00       0       0       0       2       6       3
   42. C3H6O2                G      0           74.078998    300.00   4000.00       0       0       0       2       6       3
   43. C3H5OOH               G      0           74.078998    300.00   4000.00       0       0       0       2       6       3
   44. C3-OQOOH              G      0           90.077998    300.00   4000.00       0       0       0       3       6       3
   45. C3H8                  G      0           44.096999    300.00   4000.00       0       0       0       0       8       3
   46. NC3H7OH               G      0           60.095999    300.00   4000.00       0       0       0       1       8       3
   47. IC3H7OH               G      0           60.095999    300.00   4000.00       0       0       0       1       8       3
   48. C3H7OOH               G      0           76.094998    300.00   4000.00       0       0       0       2       8       3
   49. C4H2                  G      0           50.059999    300.00   4000.00       0       0       0       0       2       4
   50. C4H4                  G      0           52.075999    300.00   4000.00       0       0       0       0       4       4
   51. C4H6                  G      0           54.091999    300.00   4000.00       0       0       0       0       6       4
   52. C3H5CHO               G      0           70.090998    300.00   4000.00       0       0       0       1       6       4
   53. IC3H5CHO              G      0           70.090998    300.00   4000.00       0       0       0       1       6       4
   54. C4H6O2                G      0           86.089998    300.00   4000.00       0       0       0       2       6       4
   55. NC4H8                 G      0           56.107999    300.00   4000.00       0       0       0       0       8       4
   56. IC4H8                 G      0           56.107999    300.00   4000.00       0       0       0       0       8       4
   57. IC3H7CHO              G      0           72.106998    300.00   4000.00       0       0       0       1       8       4
   58. C3H7CHO               G      0           72.106998    300.00   4000.00       0       0       0       1       8       4
   59. C4H8O                 G      0           72.106998    300.00   4000.00       0       0       0       1       8       4
   60. NC4H10                G      0           58.123999    300.00   4000.00       0       0       0       0      10       4
   61. IC4H10                G      0           58.123999    300.00   4000.00       0       0       0       0      10       4
   62. CYC5H4O               G      0           80.085998    300.00   4000.00       0       0       0       1       4       5
   63. CYC5H6                G      0           66.102998    300.00   4000.00       0       0       0       0       6       5
   64. CYC5H8                G      0           68.118999    300.00   4000.00       0       0       0       0       8       5
   65. C5H8                  G      0           68.118999    300.00   4000.00       0       0       0       0       8       5
   66. NC5H10                G      0           70.134999    300.00   4000.00       0       0       0       0      10       5
   67. C4H9CHO               G      0           86.133998    300.00   4000.00       0       0       0       1      10       5
   68. NEOC5H12              G      0           72.150999    300.00   4000.00       0       0       0       0      12       5
   69. NC5H12                G      0           72.150999    300.00   4000.00       0       0       0       0      12       5
   70. C6H2                  G      0           74.081998    300.00   4000.00       0       0       0       0       2       6
   71. C6H4                  G      0           76.097998    300.00   4000.00       0       0       0       0       4       6
   72. BENZYNE               G      0           76.097998    300.00   4000.00       0       0       0       0       4       6
   73. C6H4O2                G      0          108.095997    300.00   4000.00       0       0       0       2       4       6
   74. C6H6                  G      0           78.113998    300.00   4000.00       0       0       0       0       6       6
   75. LC6H6                 G      0           78.113998    300.00   4000.00       0       0       0       0       6       6
   76. C6H5OH                G      0           94.112998    300.00   4000.00       0       0       0       1       6       6
   77. CYC6H8                G      0           80.129998    300.00   4000.00       0       0       0       0       8       6
   78. MCPTD                 G      0           80.129998    300.00   4000.00       0       0       0       0       8       6
   79. CYC6H10               G      0           82.145998    300.00   4000.00       0       0       0       0      10       6
   80. CYC6H12               G      0           84.161998    300.00   4000.00       0       0       0       0      12       6
   81. NC6H12                G      0           84.161998    300.00   4000.00       0       0       0       0      12       6
   82. C6H5CHO               G      0          106.123997    300.00   4000.00       0       0       0       1       6       7
   83. C7H8                  G      0           92.140998    300.00   4000.00       0       0       0       0       8       7
   84. CRESOL                G      0          108.139997    300.00   4000.00       0       0       0       1       8       7
   85. C6H5CH2OH             G      0          108.139997    300.00   4000.00       0       0       0       1       8       7
   86. C6H5OCH3              G      0          108.139997    300.00   4000.00       0       0       0       1       8       7
   87. CH3CH3-C5H6           G      0           96.172998    300.00   4000.00       0       0       0       0      12       7
   88. NC7H14                G      0           98.188998    300.00   4000.00       0       0       0       0      14       7
   89. NC7H16                G      0          100.204998    300.00   4000.00       0       0       0       0      16       7
   90. C8H2                  G      0           98.103997    300.00   4000.00       0       0       0       0       2       8
   91. C6H5C2H               G      0          102.135998    300.00   4000.00       0       0       0       0       6       8
   92. C6H5C2H3              G      0          104.151998    300.00   4000.00       0       0       0       0       8       8
   93. C6H5C2H5              G      0          106.167998    300.00   4000.00       0       0       0       0      10       8
   94. XYLENE                G      0          106.167998    300.00   4000.00       0       0       0       0      10       8
   95. IC8H16                G      0          112.215998    300.00   4000.00       0       0       0       0      16       8
   96. IC8H18                G      0          114.231998    300.00   4000.00       0       0       0       0      18       8
   97. INDENE                G      0          116.162997    300.00   4000.00       0       0       0       0       8       9
   98. C10H8                 G      0          128.173997    300.00   4000.00       0       0       0       0       8      10
   99. C10H7OH               G      0          144.172997    300.00   4000.00       0       0       0       1       8      10
  100. C10H7CHO              G      0          156.183996    300.00   4000.00       0       0       0       1       8      11
  101. C10H7CH3              G      0          142.200997    300.00   4000.00       0       0       0       0      10      11
  102. CH3C10H6OH            G      0          158.199996    300.00   4000.00       0       0       0       1      10      11
  103. C12H8                 G      0          152.195996    300.00   4000.00       0       0       0       0       8      12
  104. BIPHENYL              G      0          154.211996    300.00   4000.00       0       0       0       0      10      12
  105. DIFENET               G      0          170.210996    300.00   4000.00       0       0       0       1      10      12
